item_id,year,month,seq,type,hs4,weight,quantity,value
LTOYKIML,2022,1,1.0,1,3909,72036.0,0.0,193512.0
QVLMOEYE,2022,1,1.0,1,4202,1397.0,2878.0,495863.0
JERHKLYW,2022,1,1.0,1,4601,75.0,0.0,930.0
ZXERAXWP,2022,1,1.0,1,4802,767.0,0.0,4125.0
LSOIUSXD,2022,1,1.0,1,5111,41.0,59.0,2926.0
XUOIQPFL,2022,1,1.0,1,5205,851260.0,0.0,3610061.0
WBLJNPZQ,2022,1,1.0,1,5309,5333.0,17928.0,247473.0
OXKURKXR,2022,1,1.0,1,5402,11561.0,0.0,112738.0
AXULOHBQ,2022,1,1.0,1,5515,171.0,266.0,877.0
DBWLZWNK,2022,1,1.0,1,5602,1457.0,0.0,20163.0
NZKBIBNU,2022,1,1.0,1,5609,3417.0,0.0,34656.0
OKMBFVKS,2022,1,1.0,1,5705,447381.0,234857.0,1193460.0
VUAFAIYJ,2022,1,1.0,1,6101,171.0,221.0,70633.0
CCLHWFWF,2022,1,1.0,1,6211,275629.0,833853.0,10046344.0
OGAFEHLU,2022,1,1.0,1,7202,205000.0,0.0,4504988.0
SDWAYPIK,2022,1,1.0,1,7207,6387100.0,0.0,4980385.0
UIFPPCLR,2022,1,1.0,1,8102,3000.0,0.0,152980.0
KEUWZRKO,2022,1,1.0,1,8102,14.0,0.0,2978.0
FQCLOEXA,2022,1,1.0,1,8102,42.0,0.0,14060.0
APQGTRMF,2022,1,1.0,1,8105,3116.0,0.0,57646.0
ZCELVYQU,2022,1,1.0,1,8461,3000.0,1.0,14628.0
KAGJCHMR,2022,1,1.0,1,8467,1.0,1.0,1289.0
KJNSOAHR,2022,1,1.0,1,8479,30731.0,0.0,1162738.0
QKXNTIIB,2022,1,1.0,1,8501,74322.0,6.0,1708475.0
GKQIJYDH,2022,1,1.0,1,8501,419379.0,30.0,8632341.0
VBYCLTYZ,2022,1,1.0,1,8505,5755.0,0.0,227711.0
GYHKIVQT,2022,1,1.0,1,8505,184551.0,0.0,11423231.0
ROACSLMG,2022,1,1.0,1,8505,341343.0,0.0,941707.0
VMAQSTJE,2022,1,1.0,1,8527,10.0,2.0,225.0
XIFHSOWQ,2022,1,1.0,1,8708,70.0,0.0,1601.0
FITUEHWN,2022,1,1.0,1,8714,3584.0,3280.0,24085.0
UGEQLMXM,2022,1,1.0,1,8714,397.0,0.0,27109.0
BUZIIBYG,2022,1,1.0,1,9403,2042391.0,0.0,5809745.0
DEWLVASR,2022,1,2.0,1,3038,7000.0,0.0,27505.0
JBVHSUWY,2022,1,2.0,1,1210,29343.0,0.0,470887.0
ELQGMQWE,2022,1,2.0,1,2002,21342.0,0.0,22335.0
AHMDUILJ,2022,1,2.0,1,2102,80603.0,0.0,153608.0
XIPPENFQ,2022,1,2.0,1,2501,20461.0,0.0,10550.0
FTSVTTSR,2022,1,2.0,1,2529,193000.0,0.0,87681.0
XMKRPGLB,2022,1,2.0,1,2529,938910.0,0.0,346576.0
RCBZUSIM,2022,1,2.0,1,2805,0.0,0.0,2287.0
SUOYXCHP,2022,1,2.0,1,2805,0.0,0.0,0.0
ZKENOUDA,2022,1,2.0,1,2805,30.0,0.0,37837.0
WQMVCOEM,2022,1,2.0,1,2805,54.0,0.0,72345.0
BSRMSVTC,2022,1,2.0,1,2805,1704.0,0.0,850392.0
DDEXPPXU,2022,1,2.0,1,2807,0.0,0.0,0.0
LLHREMKS,2022,1,2.0,1,2807,124.0,0.0,5079.0
DNMPSKTB,2022,1,2.0,1,2811,2006350.0,0.0,4124512.0
WPQXWHYO,2022,1,2.0,1,2811,1761099.0,0.0,3304930.0
VWMBASNE,2022,1,2.0,1,2811,186236.0,0.0,105256.0
RJGPVEXX,2022,1,2.0,1,2811,20183.0,0.0,260288.0
ATLDMDBO,2022,1,2.0,1,2814,58061763.0,0.0,50308132.0
SAHWCZNH,2022,1,2.0,1,2825,21006.0,0.0,544782.0
LUENUFGA,2022,1,2.0,1,2833,180780.0,0.0,898249.0
HXYSSRXE,2022,1,2.0,1,2836,8433408.0,0.0,3468982.0
QRKRBYJL,2022,1,2.0,1,2841,92160.0,0.0,5522158.0
FRHNWLNI,2022,1,2.0,1,2846,18928.0,0.0,1122758.0
MBSBZBXA,2022,1,2.0,1,2846,4537.0,0.0,957499.0
BJALXPFS,2022,1,2.0,1,2847,33.0,0.0,1460.0
RAWUKQMJ,2022,1,2.0,1,2916,128993.0,0.0,1859151.0
ZGJXVMNI,2022,1,2.0,1,3006,162.0,0.0,325412.0
LRVGFDFM,2022,1,2.0,1,3102,14101237.0,0.0,13632286.0
BTMOEMEP,2022,1,2.0,1,3102,15918195.0,0.0,14912873.0
UXSPKBJR,2022,1,2.0,1,3206,2885.0,0.0,986970.0
BEZYMBBT,2022,1,2.0,1,3207,1881.0,0.0,1430358.0
SAAYMURU,2022,1,2.0,1,3215,226.0,0.0,2970.0
QJQJSWFU,2022,1,2.0,1,3307,3963.0,0.0,38030.0
EVBVXETX,2022,1,2.0,1,3404,849480.0,0.0,2915512.0
DUCMGGNW,2022,1,2.0,1,3806,41015.0,0.0,102305.0
NAQIHUKZ,2022,1,2.0,1,3813,1.0,0.0,30.0
OJIFIHMZ,2022,1,2.0,1,3815,8845.0,0.0,295758.0
STZDBITS,2022,1,2.0,1,3815,548451.0,0.0,4838151.0
SNHYOVBM,2022,1,2.0,1,3824,60036.0,0.0,52511.0
LPHPPJUG,2022,1,2.0,1,3824,805167.0,0.0,366640.0
FCYBOAXC,2022,1,2.0,1,3824,17336793.0,0.0,39280673.0
JPBRUTWP,2022,1,2.0,1,3904,354034.0,0.0,3175598.0
LTOYKIML,2022,1,2.0,1,3909,26144.0,0.0,67367.0
QVLMOEYE,2022,1,2.0,1,4202,6131.0,8493.0,1093818.0
MIRCVAMV,2022,1,2.0,1,4408,7500.0,0.0,128180.0
JERHKLYW,2022,1,2.0,1,4601,119.0,0.0,2182.0
ZXERAXWP,2022,1,2.0,1,4802,1390.0,0.0,6722.0
AANGBULD,2022,1,2.0,1,4810,17625.0,0.0,14276.0
LSOIUSXD,2022,1,2.0,1,5111,18.0,38.0,260.0
XUOIQPFL,2022,1,2.0,1,5205,958913.0,0.0,4051574.0
WBLJNPZQ,2022,1,2.0,1,5309,5773.0,18497.0,262499.0
OXKURKXR,2022,1,2.0,1,5402,9733.0,0.0,44240.0
WHPUAOID,2022,1,2.0,1,5512,50.0,251.0,1477.0
AXULOHBQ,2022,1,2.0,1,5515,256.0,1331.0,8496.0
DBWLZWNK,2022,1,2.0,1,5602,8627.0,0.0,191171.0
NZKBIBNU,2022,1,2.0,1,5609,7613.0,0.0,138623.0
OKMBFVKS,2022,1,2.0,1,5705,506805.0,194908.0,1066519.0
VUAFAIYJ,2022,1,2.0,1,6101,1573.0,1793.0,148635.0
CCLHWFWF,2022,1,2.0,1,6211,392557.0,1041817.0,15059652.0
OGAFEHLU,2022,1,2.0,1,7202,365000.0,0.0,8433649.0
SDWAYPIK,2022,1,2.0,1,7207,9082663.0,0.0,6048591.0
UIFPPCLR,2022,1,2.0,1,8102,10.0,0.0,683.0
KEUWZRKO,2022,1,2.0,1,8102,0.0,0.0,0.0
FQCLOEXA,2022,1,2.0,1,8102,9525.0,0.0,1033225.0
APQGTRMF,2022,1,2.0,1,8105,25712.0,0.0,243264.0
ZCELVYQU,2022,1,2.0,1,8461,20865.0,2.0,42000.0
KAGJCHMR,2022,1,2.0,1,8467,0.0,0.0,0.0
KJNSOAHR,2022,1,2.0,1,8479,641934.0,0.0,12911504.0
QKXNTIIB,2022,1,2.0,1,8501,35950.0,10.0,323320.0
UQYUIVVR,2022,1,2.0,1,8501,88419.0,4.0,3960970.0
GKQIJYDH,2022,1,2.0,1,8501,89527.0,11.0,698571.0
VBYCLTYZ,2022,1,2.0,1,8505,13600.0,0.0,527846.0
GYHKIVQT,2022,1,2.0,1,8505,235793.0,0.0,11963356.0
ROACSLMG,2022,1,2.0,1,8505,220564.0,0.0,1017480.0
VMAQSTJE,2022,1,2.0,1,8527,3519.0,3700.0,80837.0
XIFHSOWQ,2022,1,2.0,1,8708,38.0,0.0,1930.0
FITUEHWN,2022,1,2.0,1,8714,624.0,1477.0,49431.0
UGEQLMXM,2022,1,2.0,1,8714,150.0,0.0,4335.0
BUZIIBYG,2022,1,2.0,1,9403,2341919.0,0.0,6678262.0
DEWLVASR,2022,1,3.0,1,3038,0.0,0.0,0.0
JBVHSUWY,2022,1,3.0,1,1210,35.0,0.0,304.0
ELQGMQWE,2022,1,3.0,1,2002,94158.0,0.0,134791.0
AHMDUILJ,2022,1,3.0,1,2102,1961.0,0.0,16331.0
XIPPENFQ,2022,1,3.0,1,2501,130931.0,0.0,86977.0
FTSVTTSR,2022,1,3.0,1,2529,144000.0,0.0,69360.0
XMKRPGLB,2022,1,3.0,1,2529,864060.0,0.0,326955.0
FWUCPMMW,2022,1,3.0,1,2701,0.0,0.0,26.0
RCBZUSIM,2022,1,3.0,1,2805,3001.0,0.0,17752.0
SUOYXCHP,2022,1,3.0,1,2805,2.0,0.0,30329.0
ZKENOUDA,2022,1,3.0,1,2805,130.0,0.0,82007.0
WQMVCOEM,2022,1,3.0,1,2805,0.0,0.0,0.0
BSRMSVTC,2022,1,3.0,1,2805,1164.0,0.0,331925.0
DDEXPPXU,2022,1,3.0,1,2807,1518.0,0.0,1618.0
LLHREMKS,2022,1,3.0,1,2807,147.0,0.0,6439.0
DNMPSKTB,2022,1,3.0,1,2811,2142957.0,0.0,5147328.0
WPQXWHYO,2022,1,3.0,1,2811,1870902.0,0.0,3711808.0
VWMBASNE,2022,1,3.0,1,2811,192404.0,0.0,140747.0
RJGPVEXX,2022,1,3.0,1,2811,103.0,0.0,43657.0
ATLDMDBO,2022,1,3.0,1,2814,36368068.0,0.0,32240449.0
SAHWCZNH,2022,1,3.0,1,2825,60761.0,0.0,531017.0
LUENUFGA,2022,1,3.0,1,2833,74295.0,0.0,383130.0
HXYSSRXE,2022,1,3.0,1,2836,6663495.0,0.0,2876447.0
QRKRBYJL,2022,1,3.0,1,2841,45008.0,0.0,2865356.0
FRHNWLNI,2022,1,3.0,1,2846,7550.0,0.0,605813.0
MBSBZBXA,2022,1,3.0,1,2846,1136.0,0.0,571524.0
BJALXPFS,2022,1,3.0,1,2847,175901.0,0.0,87721.0
RAWUKQMJ,2022,1,3.0,1,2916,142754.0,0.0,1848935.0
ZGJXVMNI,2022,1,3.0,1,3006,264.0,0.0,824740.0
LRVGFDFM,2022,1,3.0,1,3102,33825000.0,0.0,31449756.0
BTMOEMEP,2022,1,3.0,1,3102,11443779.0,0.0,10879367.0
UXSPKBJR,2022,1,3.0,1,3206,1704.0,0.0,99464.0
BEZYMBBT,2022,1,3.0,1,3207,2972.0,0.0,2459364.0
SAAYMURU,2022,1,3.0,1,3215,163.0,0.0,2398.0
QJQJSWFU,2022,1,3.0,1,3307,1122.0,0.0,13483.0
EVBVXETX,2022,1,3.0,1,3404,375297.0,0.0,1636528.0
DUCMGGNW,2022,1,3.0,1,3806,24676.0,0.0,81835.0
NAQIHUKZ,2022,1,3.0,1,3813,0.0,0.0,0.0
OJIFIHMZ,2022,1,3.0,1,3815,36935.0,0.0,4210672.0
STZDBITS,2022,1,3.0,1,3815,599954.0,0.0,3149446.0
IGDVVKUD,2022,1,3.0,1,3824,2020.0,0.0,8949.0
SNHYOVBM,2022,1,3.0,1,3824,520.0,0.0,1428.0
LPHPPJUG,2022,1,3.0,1,3824,564676.0,0.0,362265.0
FCYBOAXC,2022,1,3.0,1,3824,10103460.0,0.0,36875481.0
JPBRUTWP,2022,1,3.0,1,3904,157339.0,0.0,2076330.0
LTOYKIML,2022,1,3.0,1,3909,26721.0,0.0,69553.0
QVLMOEYE,2022,1,3.0,1,4202,9314.0,40941.0,978228.0
MIRCVAMV,2022,1,3.0,1,4408,0.0,0.0,0.0
JERHKLYW,2022,1,3.0,1,4601,41.0,0.0,735.0
ZXERAXWP,2022,1,3.0,1,4802,0.0,0.0,20.0
AANGBULD,2022,1,3.0,1,4810,0.0,0.0,0.0
LSOIUSXD,2022,1,3.0,1,5111,66.0,608.0,1628.0
XUOIQPFL,2022,1,3.0,1,5205,754784.0,0.0,3209434.0
WBLJNPZQ,2022,1,3.0,1,5309,2904.0,10777.0,94629.0
OXKURKXR,2022,1,3.0,1,5402,72.0,0.0,2947.0
WHPUAOID,2022,1,3.0,1,5512,4841.0,13493.0,119096.0
AXULOHBQ,2022,1,3.0,1,5515,101.0,356.0,2056.0
DBWLZWNK,2022,1,3.0,1,5602,4545.0,0.0,154885.0
NZKBIBNU,2022,1,3.0,1,5609,3149.0,0.0,44522.0
OKMBFVKS,2022,1,3.0,1,5705,366679.0,158574.0,707437.0
VUAFAIYJ,2022,1,3.0,1,6101,235.0,262.0,51762.0
CCLHWFWF,2022,1,3.0,1,6211,395620.0,1217876.0,15139621.0
OGAFEHLU,2022,1,3.0,1,7202,55000.0,0.0,1326695.0
SDWAYPIK,2022,1,3.0,1,7207,13400090.0,0.0,9012184.0
FDXPMYGF,2022,1,3.0,1,7907,2.0,0.0,571.0
UIFPPCLR,2022,1,3.0,1,8102,0.0,0.0,0.0
KEUWZRKO,2022,1,3.0,1,8102,60.0,0.0,13599.0
FQCLOEXA,2022,1,3.0,1,8102,4422.0,0.0,449117.0
APQGTRMF,2022,1,3.0,1,8105,21365.0,0.0,83089.0
ZCELVYQU,2022,1,3.0,1,8461,7910.0,1.0,317231.0
KAGJCHMR,2022,1,3.0,1,8467,0.0,0.0,0.0
KJNSOAHR,2022,1,3.0,1,8479,50518.0,0.0,2413854.0
QKXNTIIB,2022,1,3.0,1,8501,41570.0,12.0,612870.0
UQYUIVVR,2022,1,3.0,1,8501,27140.0,1.0,416000.0
GKQIJYDH,2022,1,3.0,1,8501,70498.0,27.0,451557.0
VBYCLTYZ,2022,1,3.0,1,8505,1712.0,0.0,196518.0
GYHKIVQT,2022,1,3.0,1,8505,189054.0,0.0,12607426.0
ROACSLMG,2022,1,3.0,1,8505,348577.0,0.0,1116303.0
VMAQSTJE,2022,1,3.0,1,8527,5736.0,7624.0,149766.0
XIFHSOWQ,2022,1,3.0,1,8708,82.0,0.0,4187.0
FITUEHWN,2022,1,3.0,1,8714,340.0,244.0,8325.0
UGEQLMXM,2022,1,3.0,1,8714,1065.0,0.0,64498.0
BUZIIBYG,2022,1,3.0,1,9403,2507134.0,0.0,6573780.0
JBVHSUWY,2022,2,1.0,1,1210,19.0,0.0,306.0
ELQGMQWE,2022,2,1.0,1,2002,19471.0,0.0,69154.0
AHMDUILJ,2022,2,1.0,1,2102,1951.0,0.0,10585.0
XIPPENFQ,2022,2,1.0,1,2501,101977.0,0.0,21780.0
FTSVTTSR,2022,2,1.0,1,2529,60000.0,0.0,37864.0
XMKRPGLB,2022,2,1.0,1,2529,20000.0,0.0,15940.0
FWUCPMMW,2022,2,1.0,1,2701,0.0,0.0,24.0
QSDCUCLB,2022,2,1.0,1,2710,4380.0,5277.0,1080.0
RCBZUSIM,2022,2,1.0,1,2805,1.0,0.0,959.0
SUOYXCHP,2022,2,1.0,1,2805,0.0,0.0,279.0
ZKENOUDA,2022,2,1.0,1,2805,0.0,0.0,102.0
WQMVCOEM,2022,2,1.0,1,2805,63.0,0.0,91877.0
BSRMSVTC,2022,2,1.0,1,2805,6.0,0.0,31755.0
DDEXPPXU,2022,2,1.0,1,2807,2748.0,0.0,4991.0
LLHREMKS,2022,2,1.0,1,2807,3203.0,0.0,22734.0
YSYHGLQK,2022,2,1.0,1,2807,4.0,0.0,163.0
DNMPSKTB,2022,2,1.0,1,2811,2128590.0,0.0,4418665.0
WPQXWHYO,2022,2,1.0,1,2811,1399061.0,0.0,2555906.0
VWMBASNE,2022,2,1.0,1,2811,1827.0,0.0,40341.0
RJGPVEXX,2022,2,1.0,1,2811,312.0,0.0,21360.0
ATLDMDBO,2022,2,1.0,1,2814,70474476.0,0.0,63846719.0
SAHWCZNH,2022,2,1.0,1,2825,15.0,0.0,6972.0
LUENUFGA,2022,2,1.0,1,2833,153031.0,0.0,759540.0
HXYSSRXE,2022,2,1.0,1,2836,6490649.0,0.0,2578331.0
QRKRBYJL,2022,2,1.0,1,2841,56432.0,0.0,3610337.0
FRHNWLNI,2022,2,1.0,1,2846,6589.0,0.0,254713.0
MBSBZBXA,2022,2,1.0,1,2846,4474.0,0.0,387851.0
BJALXPFS,2022,2,1.0,1,2847,231100.0,0.0,131374.0
RAWUKQMJ,2022,2,1.0,1,2916,82793.0,0.0,872264.0
ZGJXVMNI,2022,2,1.0,1,3006,327.0,0.0,430357.0
LRVGFDFM,2022,2,1.0,1,3102,7726748.0,0.0,6805378.0
BTMOEMEP,2022,2,1.0,1,3102,10687974.0,0.0,9899139.0
UXSPKBJR,2022,2,1.0,1,3206,1633.0,0.0,1603935.0
BEZYMBBT,2022,2,1.0,1,3207,2782.0,0.0,2006300.0
SAAYMURU,2022,2,1.0,1,3215,1126.0,0.0,17022.0
QJQJSWFU,2022,2,1.0,1,3307,2731.0,0.0,41024.0
EVBVXETX,2022,2,1.0,1,3404,407272.0,0.0,1558077.0
DUCMGGNW,2022,2,1.0,1,3806,31469.0,0.0,157142.0
OJIFIHMZ,2022,2,1.0,1,3815,2814.0,0.0,574681.0
STZDBITS,2022,2,1.0,1,3815,432828.0,0.0,4822385.0
PYZMVUWD,2022,2,1.0,1,3824,4880.0,0.0,32993.0
SNHYOVBM,2022,2,1.0,1,3824,80479.0,0.0,71661.0
LPHPPJUG,2022,2,1.0,1,3824,939602.0,0.0,469620.0
FCYBOAXC,2022,2,1.0,1,3824,11205668.0,0.0,42476643.0
JPBRUTWP,2022,2,1.0,1,3904,270719.0,0.0,2835525.0
LTOYKIML,2022,2,1.0,1,3909,44802.0,0.0,86400.0
QVLMOEYE,2022,2,1.0,1,4202,2728.0,4704.0,774557.0
JERHKLYW,2022,2,1.0,1,4601,58.0,0.0,835.0
ZXERAXWP,2022,2,1.0,1,4802,2.0,0.0,109.0
LSOIUSXD,2022,2,1.0,1,5111,286.0,396.0,17334.0
XUOIQPFL,2022,2,1.0,1,5205,712545.0,0.0,3123029.0
WBLJNPZQ,2022,2,1.0,1,5309,14474.0,48971.0,279431.0
OXKURKXR,2022,2,1.0,1,5402,6877.0,0.0,87252.0
WHPUAOID,2022,2,1.0,1,5512,25.0,152.0,281.0
AXULOHBQ,2022,2,1.0,1,5515,127.0,1067.0,3497.0
DBWLZWNK,2022,2,1.0,1,5602,15288.0,0.0,498622.0
NZKBIBNU,2022,2,1.0,1,5609,1662.0,0.0,33106.0
OKMBFVKS,2022,2,1.0,1,5705,417638.0,128119.0,794117.0
HCDTGMST,2022,2,1.0,1,6006,11.0,0.0,607.0
VUAFAIYJ,2022,2,1.0,1,6101,33.0,40.0,35231.0
CCLHWFWF,2022,2,1.0,1,6211,611852.0,1718142.0,20580512.0
OGAFEHLU,2022,2,1.0,1,7202,15000.0,0.0,318040.0
SDWAYPIK,2022,2,1.0,1,7207,2580280.0,0.0,1813173.0
FDXPMYGF,2022,2,1.0,1,7907,0.0,0.0,52.0
UIFPPCLR,2022,2,1.0,1,8102,303.0,0.0,9607.0
KEUWZRKO,2022,2,1.0,1,8102,281.0,0.0,19106.0
FQCLOEXA,2022,2,1.0,1,8102,4373.0,0.0,506595.0
APQGTRMF,2022,2,1.0,1,8105,44596.0,0.0,299736.0
ZCELVYQU,2022,2,1.0,1,8461,4460.0,11.0,59900.0
KJNSOAHR,2022,2,1.0,1,8479,447717.0,0.0,13424333.0
QKXNTIIB,2022,2,1.0,1,8501,31730.0,17.0,393331.0
UQYUIVVR,2022,2,1.0,1,8501,27200.0,4.0,244123.0
GKQIJYDH,2022,2,1.0,1,8501,30769.0,13.0,169492.0
VBYCLTYZ,2022,2,1.0,1,8505,1451.0,0.0,103790.0
GYHKIVQT,2022,2,1.0,1,8505,110849.0,0.0,7535735.0
ROACSLMG,2022,2,1.0,1,8505,193346.0,0.0,637834.0
VMAQSTJE,2022,2,1.0,1,8527,3282.0,410.0,73282.0
XIFHSOWQ,2022,2,1.0,1,8708,2499.0,0.0,8925.0
FITUEHWN,2022,2,1.0,1,8714,122.0,56.0,3308.0
UGEQLMXM,2022,2,1.0,1,8714,2275.0,0.0,308498.0
BUZIIBYG,2022,2,1.0,1,9403,2041672.0,0.0,5709757.0
DEWLVASR,2022,2,2.0,1,3038,19185.0,0.0,59784.0
JSLXRQOK,2022,2,2.0,1,5119,1.0,0.0,204.0
JBVHSUWY,2022,2,2.0,1,1210,8110.0,0.0,217325.0
ELQGMQWE,2022,2,2.0,1,2002,87323.0,0.0,130788.0
AHMDUILJ,2022,2,2.0,1,2102,40494.0,0.0,102626.0
XIPPENFQ,2022,2,2.0,1,2501,117748.0,0.0,28602.0
FTSVTTSR,2022,2,2.0,1,2529,50000.0,0.0,15000.0
XMKRPGLB,2022,2,2.0,1,2529,3659700.0,0.0,1356122.0
FWUCPMMW,2022,2,2.0,1,2701,1.0,0.0,24.0
QSDCUCLB,2022,2,2.0,1,2710,0.0,0.0,0.0
RCBZUSIM,2022,2,2.0,1,2805,0.0,0.0,131.0
SUOYXCHP,2022,2,2.0,1,2805,0.0,0.0,1589.0
ZKENOUDA,2022,2,2.0,1,2805,0.0,0.0,20.0
WQMVCOEM,2022,2,2.0,1,2805,1.0,0.0,1652.0
BSRMSVTC,2022,2,2.0,1,2805,81.0,0.0,69103.0
DDEXPPXU,2022,2,2.0,1,2807,3110.0,0.0,6784.0
LLHREMKS,2022,2,2.0,1,2807,252.0,0.0,11713.0
YSYHGLQK,2022,2,2.0,1,2807,0.0,0.0,0.0
DNMPSKTB,2022,2,2.0,1,2811,1410885.0,0.0,2924808.0
WPQXWHYO,2022,2,2.0,1,2811,1351727.0,0.0,2635798.0
VWMBASNE,2022,2,2.0,1,2811,1018.0,0.0,20348.0
RJGPVEXX,2022,2,2.0,1,2811,17004.0,0.0,118989.0
ATLDMDBO,2022,2,2.0,1,2814,684.0,0.0,6579.0
SAHWCZNH,2022,2,2.0,1,2825,1502.0,0.0,74404.0
LUENUFGA,2022,2,2.0,1,2833,127961.0,0.0,696050.0
HXYSSRXE,2022,2,2.0,1,2836,7077606.0,0.0,2997175.0
QRKRBYJL,2022,2,2.0,1,2841,73628.0,0.0,5146102.0
FRHNWLNI,2022,2,2.0,1,2846,3921.0,0.0,442944.0
MBSBZBXA,2022,2,2.0,1,2846,20402.0,0.0,235161.0
BJALXPFS,2022,2,2.0,1,2847,96045.0,0.0,85704.0
RAWUKQMJ,2022,2,2.0,1,2916,41683.0,0.0,696920.0
ZGJXVMNI,2022,2,2.0,1,3006,262.0,0.0,323358.0
LRVGFDFM,2022,2,2.0,1,3102,41352681.0,0.0,32681048.0
BTMOEMEP,2022,2,2.0,1,3102,9997706.0,0.0,8721762.0
UXSPKBJR,2022,2,2.0,1,3206,64.0,0.0,110000.0
BEZYMBBT,2022,2,2.0,1,3207,1199.0,0.0,1912704.0
SAAYMURU,2022,2,2.0,1,3215,89.0,0.0,1218.0
QJQJSWFU,2022,2,2.0,1,3307,23554.0,0.0,138176.0
EVBVXETX,2022,2,2.0,1,3404,175036.0,0.0,782770.0
DUCMGGNW,2022,2,2.0,1,3806,278491.0,0.0,938026.0
OJIFIHMZ,2022,2,2.0,1,3815,1247.0,0.0,559973.0
STZDBITS,2022,2,2.0,1,3815,742074.0,0.0,6277848.0
PYZMVUWD,2022,2,2.0,1,3824,0.0,0.0,0.0
SNHYOVBM,2022,2,2.0,1,3824,739.0,0.0,29512.0
LPHPPJUG,2022,2,2.0,1,3824,760309.0,0.0,386015.0
FCYBOAXC,2022,2,2.0,1,3824,7537460.0,0.0,28455461.0
JPBRUTWP,2022,2,2.0,1,3904,132535.0,0.0,1884610.0
LTOYKIML,2022,2,2.0,1,3909,8036.0,0.0,34486.0
QVLMOEYE,2022,2,2.0,1,4202,977.0,1538.0,658938.0
MIRCVAMV,2022,2,2.0,1,4408,3882.0,0.0,39362.0
JERHKLYW,2022,2,2.0,1,4601,52.0,0.0,672.0
ZXERAXWP,2022,2,2.0,1,4802,0.0,0.0,15.0
LSOIUSXD,2022,2,2.0,1,5111,475.0,813.0,36285.0
XUOIQPFL,2022,2,2.0,1,5205,803290.0,0.0,3438977.0
WBLJNPZQ,2022,2,2.0,1,5309,1442.0,5216.0,41725.0
OXKURKXR,2022,2,2.0,1,5402,6255.0,0.0,52738.0
WHPUAOID,2022,2,2.0,1,5512,279.0,3642.0,536.0
AXULOHBQ,2022,2,2.0,1,5515,191.0,893.0,11083.0
DBWLZWNK,2022,2,2.0,1,5602,6947.0,0.0,56383.0
